0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:42:05 +0800] "GET /baodanwang/js/plugin/bootstrap-slider/bootstrap-slider.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:42:05 +0800] "GET /baodanwang/js/app.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:42:05 +0800] "GET /baodanwang/img/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:42:05 +0800] "GET /baodanwang/js/plugin/msie-fix/jquery.mb.browser.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:42:05 +0800] "GET /baodanwang/js/plugin/select2/select2.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:42:05 +0800] "GET /baodanwang/img/avatars/sunny.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:42:06 +0800] "GET /baodanwang/img/mybg.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:42:06 +0800] "GET /baodanwang/img/favicon/favicon.ico HTTP/1.1" 200 1150
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:42:06 +0800] "GET /baodanwang/myAjax/user/user.jsp HTTP/1.1" 200 10858
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:50:51 +0800] "POST /baodanwang/login.action HTTP/1.1" 200 13153
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:50:51 +0800] "GET /baodanwang/css/smartadmin-production-plugins.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:50:51 +0800] "GET /baodanwang/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:50:51 +0800] "GET /baodanwang/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:50:51 +0800] "GET /baodanwang/css/smartadmin-production.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:50:51 +0800] "GET /baodanwang/js/libs/jquery-ui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:50:51 +0800] "GET /baodanwang/js/libs/jquery-3.2.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:50:51 +0800] "GET /baodanwang/js/notification/SmartNotification.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:50:51 +0800] "GET /baodanwang/js/app.config.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:50:51 +0800] "GET /baodanwang/js/plugin/jquery-touch/jquery.ui.touch-punch.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:50:51 +0800] "GET /baodanwang/js/smartwidgets/jarvis.widget.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:50:51 +0800] "GET /baodanwang/js/plugin/masked-input/jquery.maskedinput.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:50:51 +0800] "GET /baodanwang/js/bootstrap/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:50:51 +0800] "GET /baodanwang/js/plugin/select2/select2.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:50:51 +0800] "GET /baodanwang/js/plugin/msie-fix/jquery.mb.browser.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:50:51 +0800] "GET /baodanwang/js/plugin/bootstrap-slider/bootstrap-slider.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:50:51 +0800] "GET /baodanwang/css/smartadmin-rtl.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:50:51 +0800] "GET /baodanwang/css/smartadmin-skins.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:50:51 +0800] "GET /baodanwang/js/app.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:50:51 +0800] "GET /baodanwang/js/plugin/fastclick/fastclick.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:50:51 +0800] "GET /baodanwang/img/avatars/sunny.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:50:51 +0800] "GET /baodanwang/img/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:50:52 +0800] "GET /baodanwang/img/mybg.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:50:52 +0800] "GET /baodanwang/img/favicon/favicon.ico HTTP/1.1" 200 1150
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:50:52 +0800] "GET /baodanwang/myAjax/user/user.jsp HTTP/1.1" 200 10859
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:50:52 +0800] "GET /baodanwang/js/plugin/jqgrid/grid.locale-en.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:51:30 +0800] "POST /baodanwang/login.action HTTP/1.1" 200 13153
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:51:30 +0800] "GET /baodanwang/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:51:30 +0800] "GET /baodanwang/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:51:30 +0800] "GET /baodanwang/css/smartadmin-production-plugins.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:51:30 +0800] "GET /baodanwang/js/libs/jquery-3.2.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:51:30 +0800] "GET /baodanwang/js/libs/jquery-ui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:51:30 +0800] "GET /baodanwang/js/notification/SmartNotification.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:51:30 +0800] "GET /baodanwang/css/smartadmin-production.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:51:30 +0800] "GET /baodanwang/css/smartadmin-skins.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:51:30 +0800] "GET /baodanwang/css/smartadmin-rtl.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:51:30 +0800] "GET /baodanwang/js/app.config.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:51:30 +0800] "GET /baodanwang/js/smartwidgets/jarvis.widget.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:51:30 +0800] "GET /baodanwang/js/plugin/masked-input/jquery.maskedinput.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:51:30 +0800] "GET /baodanwang/js/plugin/jquery-touch/jquery.ui.touch-punch.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:51:30 +0800] "GET /baodanwang/js/bootstrap/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:51:30 +0800] "GET /baodanwang/js/app.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:51:30 +0800] "GET /baodanwang/js/plugin/msie-fix/jquery.mb.browser.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:51:30 +0800] "GET /baodanwang/js/plugin/fastclick/fastclick.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:51:30 +0800] "GET /baodanwang/img/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:51:30 +0800] "GET /baodanwang/js/plugin/select2/select2.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:51:30 +0800] "GET /baodanwang/js/plugin/bootstrap-slider/bootstrap-slider.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:51:30 +0800] "GET /baodanwang/img/avatars/sunny.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:51:31 +0800] "GET /baodanwang/img/mybg.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:51:31 +0800] "GET /baodanwang/img/favicon/favicon.ico HTTP/1.1" 200 1150
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:51:31 +0800] "GET /baodanwang/myAjax/user/user.jsp HTTP/1.1" 200 11006
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:51:43 +0800] "POST /baodanwang/login.action HTTP/1.1" 200 13153
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:51:43 +0800] "GET /baodanwang/css/smartadmin-production-plugins.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:51:43 +0800] "GET /baodanwang/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:51:43 +0800] "GET /baodanwang/css/smartadmin-production.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:51:43 +0800] "GET /baodanwang/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:51:43 +0800] "GET /baodanwang/css/smartadmin-skins.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:51:43 +0800] "GET /baodanwang/css/smartadmin-rtl.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:51:43 +0800] "GET /baodanwang/js/notification/SmartNotification.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:51:43 +0800] "GET /baodanwang/js/plugin/jquery-touch/jquery.ui.touch-punch.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:51:43 +0800] "GET /baodanwang/js/bootstrap/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:51:43 +0800] "GET /baodanwang/js/app.config.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:51:43 +0800] "GET /baodanwang/js/libs/jquery-3.2.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:51:43 +0800] "GET /baodanwang/js/libs/jquery-ui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:51:43 +0800] "GET /baodanwang/js/plugin/masked-input/jquery.maskedinput.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:51:43 +0800] "GET /baodanwang/js/plugin/select2/select2.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:51:43 +0800] "GET /baodanwang/js/smartwidgets/jarvis.widget.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:51:43 +0800] "GET /baodanwang/js/plugin/msie-fix/jquery.mb.browser.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:51:43 +0800] "GET /baodanwang/js/plugin/bootstrap-slider/bootstrap-slider.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:51:43 +0800] "GET /baodanwang/js/plugin/fastclick/fastclick.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:51:43 +0800] "GET /baodanwang/js/app.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:51:43 +0800] "GET /baodanwang/img/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:51:43 +0800] "GET /baodanwang/img/avatars/sunny.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:51:43 +0800] "GET /baodanwang/img/mybg.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:51:43 +0800] "GET /baodanwang/img/favicon/favicon.ico HTTP/1.1" 200 1150
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:51:43 +0800] "GET /baodanwang/myAjax/user/user.jsp HTTP/1.1" 200 11005
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:52:14 +0800] "POST /baodanwang/login.action HTTP/1.1" 200 13153
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:52:14 +0800] "GET /baodanwang/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:52:14 +0800] "GET /baodanwang/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:52:14 +0800] "GET /baodanwang/css/smartadmin-production-plugins.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:52:14 +0800] "GET /baodanwang/js/libs/jquery-3.2.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:52:14 +0800] "GET /baodanwang/js/libs/jquery-ui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:52:14 +0800] "GET /baodanwang/js/notification/SmartNotification.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:52:14 +0800] "GET /baodanwang/css/smartadmin-skins.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:52:14 +0800] "GET /baodanwang/js/app.config.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:52:14 +0800] "GET /baodanwang/js/plugin/jquery-touch/jquery.ui.touch-punch.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:52:14 +0800] "GET /baodanwang/css/smartadmin-production.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:52:14 +0800] "GET /baodanwang/css/smartadmin-rtl.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:52:14 +0800] "GET /baodanwang/js/bootstrap/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:52:14 +0800] "GET /baodanwang/js/plugin/masked-input/jquery.maskedinput.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:52:14 +0800] "GET /baodanwang/js/smartwidgets/jarvis.widget.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:52:14 +0800] "GET /baodanwang/js/plugin/bootstrap-slider/bootstrap-slider.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:52:14 +0800] "GET /baodanwang/js/plugin/select2/select2.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:52:14 +0800] "GET /baodanwang/js/plugin/msie-fix/jquery.mb.browser.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:52:14 +0800] "GET /baodanwang/js/app.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:52:14 +0800] "GET /baodanwang/js/plugin/fastclick/fastclick.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:52:14 +0800] "GET /baodanwang/img/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:52:14 +0800] "GET /baodanwang/img/avatars/sunny.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:52:14 +0800] "GET /baodanwang/img/mybg.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:52:14 +0800] "GET /baodanwang/img/favicon/favicon.ico HTTP/1.1" 200 1150
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:52:15 +0800] "GET /baodanwang/myAjax/user/user.jsp HTTP/1.1" 200 11005
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:52:33 +0800] "POST /baodanwang/login.action HTTP/1.1" 200 13153
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:52:33 +0800] "GET /baodanwang/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:52:33 +0800] "GET /baodanwang/css/smartadmin-production.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:52:33 +0800] "GET /baodanwang/css/smartadmin-rtl.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:52:33 +0800] "GET /baodanwang/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:52:33 +0800] "GET /baodanwang/css/smartadmin-production-plugins.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:52:33 +0800] "GET /baodanwang/css/smartadmin-skins.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:52:33 +0800] "GET /baodanwang/js/plugin/jquery-touch/jquery.ui.touch-punch.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:52:33 +0800] "GET /baodanwang/js/notification/SmartNotification.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:52:33 +0800] "GET /baodanwang/js/app.config.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:52:33 +0800] "GET /baodanwang/js/libs/jquery-3.2.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:52:33 +0800] "GET /baodanwang/js/libs/jquery-ui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:52:33 +0800] "GET /baodanwang/js/smartwidgets/jarvis.widget.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:52:33 +0800] "GET /baodanwang/js/bootstrap/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:52:33 +0800] "GET /baodanwang/js/plugin/bootstrap-slider/bootstrap-slider.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:52:33 +0800] "GET /baodanwang/js/plugin/masked-input/jquery.maskedinput.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:52:33 +0800] "GET /baodanwang/js/plugin/fastclick/fastclick.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:52:33 +0800] "GET /baodanwang/js/app.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:52:33 +0800] "GET /baodanwang/js/plugin/select2/select2.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:52:33 +0800] "GET /baodanwang/img/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:52:33 +0800] "GET /baodanwang/js/plugin/msie-fix/jquery.mb.browser.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:52:33 +0800] "GET /baodanwang/img/avatars/sunny.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:52:33 +0800] "GET /baodanwang/img/mybg.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:52:33 +0800] "GET /baodanwang/img/favicon/favicon.ico HTTP/1.1" 200 1150
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:52:33 +0800] "GET /baodanwang/myAjax/user/user.jsp HTTP/1.1" 200 10976
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:52:49 +0800] "POST /baodanwang/login.action HTTP/1.1" 200 13153
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:52:49 +0800] "GET /baodanwang/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:52:50 +0800] "GET /baodanwang/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:52:50 +0800] "GET /baodanwang/css/smartadmin-production-plugins.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:52:50 +0800] "GET /baodanwang/css/smartadmin-production.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:52:50 +0800] "GET /baodanwang/js/libs/jquery-3.2.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:52:50 +0800] "GET /baodanwang/js/libs/jquery-ui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:52:50 +0800] "GET /baodanwang/js/notification/SmartNotification.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:52:50 +0800] "GET /baodanwang/js/app.config.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:52:50 +0800] "GET /baodanwang/css/smartadmin-rtl.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:52:50 +0800] "GET /baodanwang/css/smartadmin-skins.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:52:50 +0800] "GET /baodanwang/js/bootstrap/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:52:50 +0800] "GET /baodanwang/js/plugin/jquery-touch/jquery.ui.touch-punch.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:52:50 +0800] "GET /baodanwang/js/plugin/masked-input/jquery.maskedinput.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:52:50 +0800] "GET /baodanwang/js/smartwidgets/jarvis.widget.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:52:50 +0800] "GET /baodanwang/js/plugin/select2/select2.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:52:50 +0800] "GET /baodanwang/js/plugin/bootstrap-slider/bootstrap-slider.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:52:50 +0800] "GET /baodanwang/js/plugin/msie-fix/jquery.mb.browser.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:52:50 +0800] "GET /baodanwang/js/app.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:52:50 +0800] "GET /baodanwang/img/avatars/sunny.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:52:50 +0800] "GET /baodanwang/img/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:52:50 +0800] "GET /baodanwang/js/plugin/fastclick/fastclick.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:52:50 +0800] "GET /baodanwang/img/mybg.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:52:50 +0800] "GET /baodanwang/img/favicon/favicon.ico HTTP/1.1" 200 1150
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:52:50 +0800] "GET /baodanwang/myAjax/user/user.jsp HTTP/1.1" 200 10861
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:53:04 +0800] "POST /baodanwang/login.action HTTP/1.1" 200 13153
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:53:04 +0800] "GET /baodanwang/css/smartadmin-production-plugins.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:53:04 +0800] "GET /baodanwang/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:53:04 +0800] "GET /baodanwang/css/smartadmin-production.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:53:04 +0800] "GET /baodanwang/css/smartadmin-skins.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:53:04 +0800] "GET /baodanwang/css/smartadmin-rtl.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:53:04 +0800] "GET /baodanwang/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:53:04 +0800] "GET /baodanwang/js/libs/jquery-ui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:53:04 +0800] "GET /baodanwang/js/libs/jquery-3.2.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:53:04 +0800] "GET /baodanwang/js/notification/SmartNotification.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:53:04 +0800] "GET /baodanwang/js/app.config.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:53:04 +0800] "GET /baodanwang/js/smartwidgets/jarvis.widget.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:53:04 +0800] "GET /baodanwang/js/plugin/masked-input/jquery.maskedinput.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:53:04 +0800] "GET /baodanwang/js/plugin/jquery-touch/jquery.ui.touch-punch.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:53:04 +0800] "GET /baodanwang/js/bootstrap/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:53:04 +0800] "GET /baodanwang/js/plugin/select2/select2.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:53:04 +0800] "GET /baodanwang/js/plugin/fastclick/fastclick.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:53:04 +0800] "GET /baodanwang/js/plugin/bootstrap-slider/bootstrap-slider.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:53:04 +0800] "GET /baodanwang/js/app.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:53:04 +0800] "GET /baodanwang/js/plugin/msie-fix/jquery.mb.browser.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:21:53:04 +0800] "GET /baodanwang/img/avatars/sunny.png HTTP/1.1" 304 -
